Column,Non-Detect Proportion,Substitution Mean,ROS Mean,ROS Std,ROS Percentiles,Mean Difference
Na+ [µg/m**3],0.05405405405405406,1.1180739268680446,1.1181799548785594,1.9029917321703014,"{0.25: 0.0196, 0.5: 0.2208, 0.75: 1.392, 0.95: 5.441140000000001}",0.00010602801051473598
[NH4]+ [µg/m**3],0.11923688394276633,0.02196931637519873,0.021933545310015897,0.03649751370543312,"{0.25: 0.0025, 0.5: 0.0082, 0.75: 0.0217, 0.95: 0.10190000000000002}",3.577106518283177e-05
K+ [µg/m**3],0.24165341812400631,0.05458282988871224,0.055817218561830806,0.08443456005718764,"{0.25: 0.006, 0.5: 0.0147, 0.75: 0.0762, 0.95: 0.23710000000000003}",0.0012343886731185638
Mg2+ [µg/m**3],0.020667726550079535,0.14056073131955485,0.14055453100158982,0.26616186852011475,"{0.25: 0.0043, 0.5: 0.0283, 0.75: 0.1409, 0.95: 0.74342}",6.20031796502718e-06
Ca2+ [µg/m**3],0.04769475357710651,0.28245087440381555,0.28274968375245674,0.4041295396082084,"{0.25: 0.0391, 0.5: 0.1062, 0.75: 0.3644, 0.95: 1.1467200000000004}",0.00029880934864118247
[NO3]- [µg/m**3],0.004769475357710662,0.19170953895071544,0.1917117565388995,0.26969038643662463,"{0.25: 0.006, 0.5: 0.0634, 0.75: 0.2787, 0.95: 0.7661200000000001}",2.2175881840558187e-06
[C2O4]2- [µg/m**3],0.13831478537360886,0.010079173290937998,0.010145238259376263,0.01662205181195324,"{0.25: 0.001, 0.5: 0.0036, 0.75: 0.0114, 0.95: 0.041280000000000004}",6.60649684382647e-05
Br- [µg/m**3],0.44356120826709067,0.004237042925278219,0.004192686804452532,0.015598418095080705,"{0.25: 1.550689310619155e-34, 0.5: 0.0003, 0.75: 0.0022, 0.95: 0.018980000000000007}",4.435612082568773e-05
C org [µg/m**3],0.025437201907790197,0.2586597774244833,0.2586498607036089,0.3913170071541439,"{0.25: 0.07, 0.5: 0.125, 0.75: 0.273, 0.95: 0.9720000000000006}",9.91672087441442e-06
EC [µg/m**3],0.26073131955484896,0.04889507154213037,0.04759141494435613,0.11214263831145288,"{0.25: 2.242694387557265e-129, 0.5: 0.015, 0.75: 0.048, 0.95: 0.1924000000000002}",0.00130365659777424
Ti [ng/m**3],0.015898251192368873,28.283809220985695,28.283705882352944,114.42084806853981,"{0.25: 0.104, 0.5: 1.35, 0.75: 11.58, 0.95: 112.0146000000001}",0.00010333863275135968
V [ng/m**3],0.030206677265500748,0.8267761526232116,0.8267217806041336,2.707944380524111,"{0.25: 0.055, 0.5: 0.21, 0.75: 0.648, 0.95: 2.899400000000002}",5.437201907798617e-05
Cr [ng/m**3],0.07949125596184414,0.8978457869634339,0.898812471137507,2.729590424244653,"{0.25: 0.1, 0.5: 0.248, 0.75: 0.607, 0.95: 3.0724000000000014}",0.0009666841740730847
Mn [ng/m**3],0.1955484896661367,5.789611128775834,5.794126287929623,21.509728864940573,"{0.25: 0.0332918566065837, 0.5: 0.313, 0.75: 2.976, 0.95: 26.1968}",0.004515159153788417
Fe [ng/m**3],0.004769475357710662,346.04174308426064,346.0413195548489,1439.0249278973176,"{0.25: 1.42, 0.5: 17.19, 0.75: 147.97, 0.95: 1359.6280000000006}",0.00042352941176204695
Ni [ng/m**3],0.16375198728139906,0.38565596184419715,0.38900810099599925,1.2306474038225372,"{0.25: 0.038619545017934624, 0.5: 0.11, 0.75: 0.298, 0.95: 1.3284000000000027}",0.0033521391518021026
Cu [ng/m**3],0.2527821939586645,0.3884531001589825,0.3971461543782241,1.1719313474354016,"{0.25: 0.06509889481198401, 0.5: 0.11, 0.75: 0.301, 0.95: 1.3044000000000007}",0.008693054219241603
Pb [ng/m**3],0.049284578696343395,0.5178050874403816,0.5172432432432432,2.0937991023936298,"{0.25: 0.031, 0.5: 0.076, 0.75: 0.323, 0.95: 1.6826000000000005}",0.0005618441971383392
As [ng/m**3],0.23847376788553254,0.07599682034976153,0.0769307682548913,0.25796936370182005,"{0.25: 0.006063562105361115, 0.5: 0.015, 0.75: 0.048, 0.95: 0.30760000000000004}",0.0009339479051297672
Se [ng/m**3],0.20031796502384736,0.04311446740858506,0.043014308426073136,0.13138266950362348,"{0.25: 0.001, 0.5: 0.013, 0.75: 0.042, 0.95: 0.15860000000000002}",0.00010015898251192201
Sr [ng/m**3],0.01748807631160576,5.020892845786963,5.020567567567568,16.09998293904516,"{0.25: 0.101, 0.5: 0.653, 0.75: 3.207, 0.95: 21.809200000000022}",0.0003252782193952086
Rb [ng/m**3],0.24642289348171698,0.7627758346581875,0.7650437394530296,3.5059749903806323,"{0.25: 0.012559036594010158, 0.5: 0.036, 0.75: 0.257, 0.95: 2.8686000000000003}",0.0022679047948420683
Ba [ng/m**3],0.20190779014308424,6.232401907790143,6.239502329639554,26.23166873067709,"{0.25: 0.044, 0.5: 0.271, 0.75: 2.679, 0.95: 24.171000000000014}",0.007100421849410843
La [ng/m**3],0.4753577106518283,1.7220034976152625,1.7542007095072194,8.115115864627409,"{0.25: 0.02, 0.5: 0.08139081753803673, 0.75: 0.371, 0.95: 6.595400000000005}",0.0321972118919569
Ce [ng/m**3],0.2829888712241654,1.0318457869634339,1.0309968203497615,3.8377783772126994,"{0.25: 2.9378476233643015e-25, 0.5: 0.046, 0.75: 0.5, 0.95: 4.5672000000000015}",0.0008489666136723972
